내용,1,2,3,4,답
BA cannot hope to launch a fledgling start-up service without________   costs.,trimming,snowballing,sustaining ,eliminating,trimming
"However, one senior figure estimated that the money invested in the dealerships was just the________   of the iceberg.",part,margin,tip  ,piece,tip  
"The so-called ""Green Revolution"" of the post-War period increased crop yields________   through the use of intensive agriculture, fertilizers and pesticides.",signify,significance,significant,significantly   ,significantly   
The________  is designed to stimulate disadvantaged areas by attracting development and encouraging the purchase of residential and commercial property by individuals and businesses.,point,fact,measure  ,trouble,measure  
Liberalization in global trade in merchandise alone stands to boost developing country incomes________ an estimated 0.8% by 2015.,to,for,by  ,as,by  
"During the same period, 133 shipments________________________4,752kg of worked ivory from CITES approved sources have been imported under valid licences.",total,to total,totalling  ,totalized,totalling  
"________   24-hour paediatric cover seven days a week, the safe delivery of high-risk babies is unsustainable and clinically unsafe.",In case of,Without ,In spite of ,Owing to,Without 
"Every face was fixed on computer screens, telephones____________ to ears.",attached,arranged,aligned ,assigned,attached
Audiences on the launch pad waved national flags and shouted as they watched the successful____________________  .,liftoff,layoff,runoff ,turnoff,liftoff
Car dealers have long________  potential buyers by offering low-cost finance deals on purchases.,assessed,allowed,accounted ,attracted ,attracted 
Buy Nationwide's debit card________  no foreign usage fees and there is no charge for cash abroad.,supposes,proposes,imposes  ,composes,imposes  
There are a number of mediums through which an individual can________   this information.,pertain,obtain ,sustain ,contain,obtain 
It regenerated rundown industrial sites and paid for bus services to rural villages________ no private company would go.,there,where ,which,of which,where 
"Horlick, 48, could be turfed out of the asset management fund she________  after making heavy losses on behalf of clients.",found,was found,founded   ,was founded,founded   
"Extensive ploughing of meadows, land drainage, field enlargement and other land management practices can all____________increase flood risk.",signifying,significant,significance,significantly ,significantly 
"The Government, in fact, are keeping________ down for pensioners; they are maintaining the erstwhile purchasing value of pensioners' savings.",inflation,deflation,stagflation,conflation,inflation
"____________being the industry leader, we provide outstanding compensation and rewarding careers. This includes a full line-up of benefits, including a 401K plan, and a commitment to ongoing training and professional development. ",As long as,Far from,Aside from  ,As far as,Aside from  
"Over the past 4 years Bronto has________  launched regional offices in London, Sydney, and now Los Angeles.",successive,successively,successful ,successfully ,successfully 
Commercial disciplines and incentives have forced the managements of those companies________ customers with what they actually want.,provide,to provide ,providing ,provision ,to provide 
The winner will be____________to attend the presentation.,acquired,required ,inquired ,enquired,required 
"With the services sector shrinking at record pace and employment falling sharply, it is clear this________________________  is gathering momentum.",concession,obsession,recession  ,cession,recession  
Companies like us are presently facing high administrative costs in________  with a complicated and disproportionate regulatory regime.,following,complying ,observing  ,obeying,complying 
"Contractors working for service companies will be________________to statutory sick pay and maternity pay, like other employees.",enforced,enlisted,entitled  ,enrolled,entitled  
Markets were in a bearish mood last night as the price of commodities surges virtually across the________________   from metals to energy and softs.,board,range,scope ,limit,board
"For example, listed companies must produce a directors' remuneration report as part of the corporate____________  framework for listed companies.",productivity,profit,governance  ,structure,governance  
"If the cause for concern is substantiated, then swift and appropriate action can be taken to________  that shortcoming.",amplify,fortify,rectify  ,electrify,rectify  
Our sales representatives will be happy to explain our no-interest financing plan that is available to make this car________   on any budget.,afford,affording,afforded ,affordable ,affordable 
"Bonds have benefited from________  interest rates during the past 10 years, which may not be repeated in the next decade.",skyrocketing,soaring,plunging  ,trudging,plunging  
Banks and insurance companies have special insolvency________ which are designed to protect depositors(banks) and policy holders(insurance companies).,regimens,regimes ,recipes ,regiments,regimes 
No-one should be extradited____   the country seeking extradition presenting good evidence and proving the need in court.,in,on,without  ,by,without  
"________ wave or wind power, solar does not involve huge upfront capital costs.",With,Without,Unlike  ,Due to,Unlike  
"Consumers, in particular, were________   to borrow by low unemployment and interest rates and rising asset prices.",encourage,encouraging,encouraged  ,encouragement,encouraged  
He seems determined to face the________  now.,song,music ,rhythm ,melody,music 
Street homelessness is the most acute expression of the broader homelessness problem; those________________________include beggars and street drinkers.,affected,effected,suspected  ,respected,affected
"Vivid Green designs and constructs low-energy offices, studios and workshops, creating inspiring and comfortable space for year-round____________.",rotation,consummation,occupation ,appropriation,occupation 
"The business plan will include a “road map” that will provide a strategy on how to best approach the government market, increase its base of customers, as well as________  for future business development.",plan,plans,to plan,planning,plan
"They bought goods that were not top of the range merchandise but inferior shoddy rubbish________________________  in China, Taiwan and other such places.",manufacture ,to manufacture ,manufacturing  ,manufactured ,manufactured 
"We received Memoranda from 24 organizations and companies, most of________ reiterated the evidence received by our predecessors.",whom,which ,them,those,which 
"He went on to probe the money management industry in 2003,________  that hedge and mutual funds were given preferential treatment by brokers.",demonstrates ,demonstrating  ,demonstrated  ,demonstration  ,demonstrating  
One of the hardest tasks for managements today is to oversee the________  of old-line companies venturing into the new technology e-commerce space.,transmission,transition ,translation,transgression ,transition 
In short the project is ideally placed to capitalize on current work but is________   by lack of resources.,proceeded,buttressed,hindered  ,boosted,hindered  
Some schools have even introduced garden-based nutrition-education programs to____   children to eat more vegetables and fruits.,encourage,make,have ,let,encourage
"Using a research team, he discovered that the electromagnetic field generated by mobile phones________________ biological changes in cells.",induces,deduces,seduces  ,produces,induces
Japan's case shows that massive government stimuli only serve to________  the private sector and impoverish the working population.,dedicate,confiscate,suffocate  ,prevaricate,suffocate  
"The first installment of $5 million failed to arrive and days later Silverjet grounded planes, leaving business travellers________   .",sprinkled,sprained,stranded ,strangled,stranded 
Few industries would be strong enough________ such an onslaught without material damage - even in good times.,withstand,withstands,to withstand ,withstanding,to withstand 
"Most suppliers to the grocers have little influence over their retail customers,____________cigarette makers are different.",and,but ,or ,so,but 
"As much as 75 years ago seed companies were doing ""cross pollination""________   hardy grains such as wheat and corn.",develop,developed,development,to develop,to develop
Multinational corporations have________ in many different countries. ,delegates,trenches,branches  ,privileges,branches  
The evidence we have received suggests that the operational________  and equipment of the Coastguard are not enough at present. ,person ,a person,personal ,personnel ,personnel 
We are working to________  the development of better focused information for customers. ,facility ,faculty,facilitate ,facilitation,facilitate 
The shares rallied after the company announced a special________   of 48 cents.,decision  ,divulsion,division,dividend , D 
"Company boards, particularly members of remuneration committees, will face far greater________ over the way they structure pay packets.",account ,accountability ,accountant,accounts,accountability 
The company plans to increase its investment on research and marketing____________  one million dollars.,at ,by,with  ,of,by
"Performance remains an absolute requirement but transparency,________ and risk management are now at the top of investors' agendas.",govern ,government,governance ,governor,governance 
"Various levels of trainings and workshops were organized for senior-level managers, division heads and staff who were directly involved in program________ .",implication,implementation,imitation,instigation,implementation
The president spoke with both kindness________________________   understanding.,but ,and,or  ,that,and
"However, they are different in________ stockholders have an equity stake in the company whereas bondholders have a creditor stake in the company. ",that  ,what,which,whether,that  
The backpack____________  is made of the finest leather is one of the best selling products in our store. ,those ,which,what  ,it,which
"The company________ execution by ensuring the workforce is aligned to the strategy, has the right mindset, and has mastered the capabilities needed to deliver business results.  ",assimilates ,affiliates,acknowledges,accelerates,accelerates
Every effort is____________  to solve the problems we are experiencing at the moment.,make ,making ,being made ,makes ,being made 
Ropes should be fastened around the bricks as tightly as possible so that we can carry them________________________ease.,for ,of ,with  ,by,with  
She____________  spend more than ten dollars.,told me not to     ,said me don't     ,told to me not     ,said me not to,told me not to     
"Once____________ , the three departments will be under the supervision of only one manager.",merging,merged,merge,to merge,merged
Ms. Phillips enjoyed____________  with the overseas investors at the annual company stockholders’ meeting. ,talk,talking,talked,to talked,talking
"________________already spent two months in training, Mr. Wallace was eager to begin his new job. ",Having,Had,To have,Have,Having
Telewest Cable’'s deluxe package____________  a variety of channels to cater to a wider number of viewers.,offering,offers,to offer,be offering,offers
"Due to the rapidly deteriorating state of the building, we need to repair it____________  than we thought.",faster,so fast,too fast,fast,faster
"Attention becomes focused on efficient, low-cost volume production, using advertising to________ the global consumer to purchase standardized brands. ",prioritize ,persuade ,promote,propagate,persuade 
Sales representatives should let clients____________________________about the terms of the contract.,know,to know,knowing,and know,know
Security guards____________  to report any unusual activities to the control center.,asking,asks,are asked,asked for,are asked
"________________the old computer system, our new network features a broadband connection to the internet.",Before,Instead,Unlike,Contrary,Unlike
He denied____________  all those letters for him.  ,you typing ,the typing by you,your typing  ,you typed,your typing  
I expect____________  you tomorrow. ,to see ,seeing,for seeing  ,on seeing,to see 
I enjoy____________  to the beach as often as possible during the summer.,going ,to go,go ,to walk,going 
"____________   you paid in two weeks, we would give you a special discount.",Might ,Have,Supposed  ,Provided,Provided
The Grand Tuscan Theater is________ offering a discount on season tickets.,partially  ,rarely  ,currently  ,desirably ,currently  
Sea Sapphire Cruises is________ to announce the launch of their newest luxury ocean liner.,pleased  ,pleasant  ,pleasure  ,pleasing ,pleased  
Please omit________ details when you report the findings revealed at the symposium.,decreased         ,insufficient,incidental          ,prerequisite,incidental          
"________   the concert finished late, the audience still clamored for more. ",Nevertheless            ,Still,Although               ,However,Although               
Students can________ in the university’s education program starting July 6th.,enroll   ,admit  ,apply  ,subscribe,enroll   
Several________ errors with the new software delayed the release date by two months.,overdue  ,minor  ,reliable  ,rapid,minor  
Mr. Leavenworth sought free legal advice online before________ with his own lawyers.  ,to consult         ,consults,consulted         ,consulting,consulting
"Since the invention of seat belts, certain automobile fatalities are now often________. ",preventability           ,prevention,preventing             ,preventable,preventable
Customers at Prussian Blue Books are reminded to keep their receipt________ proof of purchase when they place an order. ,off   ,except   ,as    ,though,as    
Please________ Ms. Condell that no one has received their paychecks yet.,accept  ,notify  ,deliver  ,present,notify  
"Employees on official business are offered____________________for any expenses incurred for meals related to workshops, business meetings, or company-related events.",investment             ,dimension,reimbursement         ,expenditure,reimbursement         
Customers are advised to double-check their orders to ensure that they will be sent________ the correct address.,until  ,upon  ,among  ,to,to
"________________ I rich, I could travel around the world.",Was,Were,Did,Should,Were
I could____________  see the flowers because they were covered with so many butterflies.,nearly,almost,nor,hardly ,hardly 
She is the most____________  woman that I've ever met.,attract,attracted,attractive ,attraction,attractive 
I'm writing to you because we at M. K. Men's Clothing Company are soliciting information we can use to____________the services we provide to valued customers like you.  ,improve     ,evolve     ,approve      ,revolve, A 
"I commend you for your early attention to these details. As always, feel free________   me with any questions.",call    ,to call      ,calling       ,calls,to call      
"Since she’s running late for____________meeting downtown, Ms. Joyce will have to catch a taxi.",she  ,her  ,hers  ,herself ,her  
"As all our locations are individually owned and operated, prices will vary________ location to location.",on   ,from   ,by   ,in ,from   
The document________ copied has already been taken to the office by Ms. McCluskey.,is   ,was   ,to be   ,has been ,to be   
"The secretary, Ms. Lucy Tran, has been working____________  7 a.m. at responding to e-mails.",until   ,since   ,about   ,at ,since   
Our aim is to focus on customers' needs and satisfaction by________ introducing exceptional goods.,consist                  ,consistently ,consistent                  ,consisting,consistently 
An investment________ gradually increases in value over the years can be more profitable than more short-term alternatives.,that  ,they  ,what  ,when,that  
Dr. Elizabeth Kay was by________ until the arrival of Dr. Ian DeSilva at 8:30 a.m.,her  ,herself   ,she   ,hers,herself   
Dr. Ketterley is a________ regarded professor of philosophy as well as a skilled orator.,largely  ,luckily  ,gracefully  ,highly ,highly 
"If he____________  harder last week, he would have passed the exam.",tried ,should,tries,had tried ,had tried 
I don't know____________  he will come to our party or not. ,that,whether ,which,when,whether 
"________________you leave right away, you will be late for your work.",Should,Were,If,Unless,Unless
The speed limit on this road is 70 miles____________  hour. ,a,an,the,half an,an
"If you have any questions, talk to one of____________  at the firm.",the managers,managers,manager,a manager,the managers
The modern art museum is located only 5 minutes' away____________ . ,by the buses,by a bus,by buses,by bus,by bus
"Hundreds of years ago,____________  that the earth was round was largely theoretical.",idea,the idea,an idea,ideas,the idea
"After thoroughly reviewing your proposal, we are____________________about a few terms and conditions.",confusing,confused,confusion,to confuse,confused
"He approached me,____________  brightly.",smiling,smiled,to smile,smiles,smiling
"________________you put on your overcoat, you will catch a cold.",If,Because of,Until,Unless,Unless
I have never seen____________  puppy.,such lovely,such a lovely,such lovely a,lovely such,such a lovely
The one who catches____________  fish wins the first prize in the fishing competition.,big,bigger,biggest,the biggest,the biggest
"If he had caught the train, he____________  late for work. ",hadn't been,hasn't been ,wouldn't have been,wouldn't been,wouldn't have been
"If you do not have your seat belt____________ , you can be fined.",fastened ,fasten,fastens,fastening,fastened 
"I don't think that anyone saw it, and neither____________ . ",John do,John does,does John,did John,does John
The degree in____________  she gained at college was very useful for her to find a job.,economics,the economics,economic,economy,economics
He looked out of the window and saw Keith________________________the road.,to cross,crossing,crossed,have crossed,crossing
The sales department is planning____________  a new product this May.,launch,to launch ,launched,to launching,to launch 
She spoke with____________  a clear voice that we understood every word she said.,very,too,so,such,such
The reserved spaces in the parking lot are my supervisor's and____________ .,I,my,me,mine,mine
The history of Korea is very like____________  of early England.,which,those,that ,it ,that 
Almost half of those____________  said they would like to live in another country.,questioned,questioning,question,questions,questioned
____________  a few times a day can help you look young and stay healthy.,Laugh,Laughter,Laughed,Laughing,Laughing
I think we will have to____________  the baseball game because of the rain.,call off,call on,call to,call,call off
________________people who attended the meeting agreed that more money was needed.,Most of,Most of the,Most of a ,Most of an,Most of the
____________   there were no rooms available at the hotel was not surprising. ,That ,Although,What,So,That 
A photograph is needed____________  we can easily identify you at the airport. ,as soon as,so that,which,where,so that
"New Internet companies appear to be____________ , but they are not.",profitable,profit,profits,profited,profitable
Please turn off your computer at the____________  of the day.,ends,ending,end,ended,end
The head of accountants____________  our expectations.,have not met,has not met,is not met,are not met,has not met
"____________  it be fine tomorrow, I will go hiking.",Should,if ,Were,had,Should
Only slowly____________  that something bad had happened. ,he realized,he had realized,did he realize,he realizes,did he realize
Employee accounts and other________ paperwork must be stored under lock and key in the main office. ,achievable  ,related   ,alike  ,interested,related   
Soaring fuel prices have________ to manufacturers seeking raw materials from less remote suppliers.,contributed             ,contributions,contribute              ,contributor,contributed             
"Once a written________ has been provided to the secretary, she can pass on the information to Mr. Oliveri.",estimate             ,guess  ,supply          ,judgment,estimate             
"In the IT related industry, some companies have succeeded________ others have failed. ",so ,which,while  ,despite,while  
I________  to work for the electronics company. ,want ,consider,enjoy   ,mind,want 
The first shipment will arrive either today________________________tomorrow.,or ,but,and   ,so,or 
The plane cannot leave the gate____________  all passengers are seated.,if ,unless,when  ,but,unless
You can ask for an updated report if you need____________________ .,it ,one,that  ,them,one
"Susan dressed carelessly to work,____________  drew unfavorable attention of the boss.",that ,while,what  ,which,which
He____________  with the merger team since last month.,has been working,is working,will have been working,worked,has been working
This company has been in competition____________  that company for many years.,at,to,with,from,with
____________ a lot of snow last night.,They were ,It was,There was,There were,There was
"____________   we can find someone to take over our task, we won't be able to attend the convention.",If,Unless ,Should,Now that,Unless 
The world would still be very monotonous if the computer____________  invented.,wasn't ,hadn't been,should  ,will have,hadn't been
"Fewer people study Latin today than fifty years ago,____________  fewer people study Greek.",some ,still,very,less,still
A language comes____________  to infants.,about,near,the heavy,natural,natural
"Chuck is,____________  a grown-up baby.",as if     ,if ever     ,in reference to     ,as it were,as it were
I don't care____________  moving picture.,about,for,of,to,for
"You____________  to our conversation, because it was private.",could listen ,might have listened,should listen  ,shouldn't have listened,shouldn't have listened
I think you will agree that it is easier to address any potential code violations now during the________________________  stages rather than later during construction.,planner     ,planning       ,plans      ,plan,planning       
The senior manager has concentrated____________  the automation project for two years.,in ,on,for   ,with,on
Employers found________  necessary to offer workers bonuses and other incentives.,it ,that ,what   ,whatever,it 
I am sorry you were unable to find the construction guidelines on________   Web site.,your     ,its     ,our       ,their ,our       
Our company’s accounting team____________numerous cases of incorrect tax information being given to employees.,differed  ,reported  ,canceled ,counseled ,reported  
"According to the manager, no one works as____________  as John does.",diligently,more diligently,more diligent,diligence,diligently
"Work hours vary from company to company, but________________  they are from 8 to 10 hours a day.",as rule,as a rule,as the rule,as rules,as a rule
This program offers____________  opportunities for adventurous youth around the country.,excitement,excited,exciting,excite,exciting
Please choose a dance partner and____________  a place on the dance floor before the music starts.,to find,finding,find,found,find
________________of girls began rushing to the famous actor when he appeared at the door.,Hundreds,Hundred,One hundreds,A hundreds,Hundreds
"Had she____________  that Michael didn't have a key, she wouldn't have locked the door.",had known,has known,known,knew,known
"Once____________  of oxygen for 3 to 5 minutes, the brain dies or is damaged severly.",deprives,depriving,deprived,to deprive,deprived
Ryan Lauser once____________  that each person has different ideas of what democracy is.,explained to me,explained me,explaining,to explain,explained to me
Great____________  when he visited her house in the middle of night.,her surprise,her was,was her,was her surprise,was her surprise
People who are trying to lose weight must be careful of____________  food they eat.,none,a,the,it,the
There are postage and packing fees____________  the repair charge.,as long as ,in addition to,on condition that,beside,in addition to
"Cargo is________ on ships, airplanes and trucks.",carry ,carries,carrying,carried ,carried 
The accountant____________  I believed to be honest deceived me.,whose ,what,that   ,which,that   
This shirt is guaranteed____________  shrinkage.,to,for,with,against ,against 
"________________   listened to me , John would not have failed.",If he has  ,Had he            ,If he                       ,As soon as, B 
Four more employees________  to the satellite branch in one week.,will send ,are sending ,will be sent   ,have sent,will be sent   
"________________the seminar was free to attend, not many employees showed up.",Instead of,Because,Although,Due to,Although
The marketing department supervisor is unsure where____________  for the annual company trip.,to go,going,to going,go to,to go
"Had Mr. Osborne____________  the 7 AM train, he might have been on time for the weekly department meeting. ",catch,been caught,caught,being caught,caught
Customers____________  online banking reported a number of faults in the new system.,use,using,used,will use,using
"________________between high pay and quality of life, Jack sought advice from his friends.",Undeciding,Undecided,Undecide,To undecide,Undecided
Mr. Gibson began____________  a new economy related book as soon as he retired from the company last month.,writing,written,write,writes,writing
Extensive work experience has____________  merit as academic qualifications.,as much,a lot,as,so many,as much
The board of directors have requested changes be made to the project so that it costs____________ .,less,lesser,the least,little,less
Ms. Givens types____________  of all the receptionists at Edwards & Grieves Associates.,fastest,the fastest,faster than,ever fast,fastest
Judy isn't in her room.____________did she go?,Which,Where,How much,Who,Where
The layout of the building can often be____________  to new employees and visitors.,confusing,confusion,confuse,confused,confusing
"________________you’re worried about limited capacity, you should book well in advance to participate in the workshop. ",If,While,As          ,Before,If
Mr. Davis would like to know____________  the report was not submitted by the 5 PM deadline.,why,what,where,which,why
"By the time the convict is released, he____________  ten years in prison.",will spend  ,has spent,will be spending  ,will have spent,will have spent
The man said he would return____________  noon.,by,on,for,until,by
Charlie Chaplin left America____________ .,for his homeland,to good memory,a matter of course,in the sake of his country,for his homeland
The capital punishment has been____________  in many states in the United States.,taken care of     ,brought about     ,dismissed     ,done away with,done away with
Sales figures need to be calculated____________ .,biannually ,rarely,usually  ,seldom,biannually 
Can you come here____________  tomorrow?,for ,until,by  ,of,by  
"As discussed, I am enclosing the required application for the permit plus a current copy of________   building codes for your project.",relative    ,relevant      ,relate       ,relation, B 
"________   the new Blanco brand of paints met all government standards for safety, it is still toxic if ingested.",In spite of        ,Whatever ,Even though      ,Moreover ,Even though      
Ghent Maritime Cruises’ policy of changing plans without________ passengers of the ensuing delays has cost them many clients.,notifies   ,notified  ,notifying ,notification,notifying 
Its________ into Brazil has given Darrow Textiles Ltd. an advantage over much of its competition.,expansion  ,process  ,creation  ,action ,expansion  
"The manager, Mr. Farthing, and his assistant, Mr. Donahue, conducted an________ inventory check of the stock this weekend.  ",impressive            ,impressively ,impression           ,impressiveness,impressive            
Can I stay here____________  tomorrow? ,for  ,until,by  ,of,until
The South Greensburg Mining Company and Duchamps Inc.________ their dispute at the provincial court of appeals.,defeated   ,arrived  ,suggested  ,settled ,settled 
"The Blackwell KV, part of our newest series of headphones, is the most advanced model of____________________kind.",its  ,our  ,your  ,their ,its  
Birch Mills Community Weekly is a local news letter published________ a week at the town’s main community center.,some  ,ever  ,all  ,once ,once 
"If you pay on a cash basis, you can take advantage____________  a 5 percent discount.",on ,with ,from ,of,of
____________   it has been twenty years since I first started working in this office is unbelievable. ,What,That ,Those ,Although,That 
"Last week, I took my pet to the veterinarian again. My cat____________for an infection in his paw.",was treating,was being treated,has treated,is treating,was being treated
Bob and Mary have good teachers.____________________________ classes are always fun.,Their,They,Them,Theirs,Their
Funding might have been available to us if we____________________ concurred to turn this project into an aid activity.,would have,should have,has,had,had
The concert organizers insist____________  no recording equipment be brought into the venue.,so,that,while,unless,that
"While he was talking____________  the telephone, someone rang the doorbell.",on,to,with,by ,on
"Lastly,________ policy and bad management have lead to the demise of large industrial organizations like Marconi and Rover.",economy ,economic ,economical,economics,economic 
Army officers are given an________ to purchase all of their uniform requirements and this varies from regiment to regiment.,appeasement ,alleviation,allocation,allowance ,allowance 
"____________   the night, the tapes containing the information are fed into the computer.",On,For ,While,During ,During 
UCM Group has________ Jamie Brundell to the board as chief executive.,indicated ,proposed,appointed ,inaugurated, C 
Companies suspecting money laundering activity are under various legal________ to report this to the National Criminal Intelligence Service (NCIS). ,privileges ,allegations,obligations ,discretions,  C
Next year we will be starting a trial of wage________________  for small and medium-sized enterprises.,subsidiaries ,suffrages,substitutes,subsidies ,subsidies 
For years speculators borrowed in yen in order to finance the purchase of higher yielding________ and assets.,conglomerates ,currents,curricula,currencies ,currencies 
Documents________ the evaluation of pesticide compounds carried out by the Advisory Committee on Pesticides are available for inspection or purchase by the public. ,details ,to detail,detailing ,detailed,detailing 
"The entire staff of Harvard University consists of around 12,000 people, many of____________  are employed by the Department of Medicine.",which,whose,whom,those,whom
"Techtime Broadband provides a digital video recorder to all digital cable customers,________________________________subscribers to skip commercials and pause television shows.  ",allows     ,allowing ,allow        ,will allow,allowing 
"The major airlines are in fierce competition. As a result, Wild West Airlines has expanded its schedule____________ it can increase its market share.",whenever,so that,even though,every time,so that
"The director________ the new environmental safety committee, Mr. Tim Chamberlain, has studied both economics and ecological science at North State University. ",on   ,of   ,to   ,by ,of   
The president of our company believes that we should take advantage of the increasing________ for products made of recycled materials. ,promotion  ,courtesy ,amount ,preference, D 
HSBC was able to grow revenues modestly but the gains were cancelled out by________   impairments on its loanbook.,mount  ,mounting,mounted,amounting ,mounting
"When interviewed, Beverley Kirkpatrick explained that an inquisitive nature as a child made________________________  interested in studying journalism.",she   ,her    ,hers    ,herself ,her    
"If you sell your house before the end of this month, your taxes will be reduced by almost 30________percent________ the sale of your home.",regarding        ,despite,supposing       ,regardless of,regarding        
"________   working with the research department some of the time, the marketing team comes up with fresh ideas for the company’s new ads.",By   ,During  ,Because  ,So that,By   
Ms. Julie Kennedy and her innovative marketing team have gained renown for creating________________________   products for struggling companies.,promote             ,promotes,promotion           ,promotional,promotional
Mr. Forester has____________  one of the finest designers in the country because of his creativity and skill in cutting since his first show in 1977.,considered ,been consideration,been considering,been considered as,been considered as
People with disabilities who need a____________________________accommodation to apply or compete for employment with Xerox should contact (in the US) accommodations@xerox.com.,profitable ,luxurious,reasonable ,high-end,reasonable 
Approximately 45% of the company workers________________________   said they are not satisfied with their working conditions.,interviewer,interviews,interviewed,interviewing,interviewed
The museum wrote the notices in several languages____________   foreign tourists could understand them.,in order,so that,unless,therefore,so that
"We want our sales representatives to be the frontline experts, to know everything there is to know about our company’s products, to answer questions, respond to complaints and resolve problems for themselves with____________   support from the head office. ",consistent ,minimal ,specific,tenacious,minimal 
"Hugh Young, head of equities at Aberdeen Asset Management, said the strong dividends have arisen after Asian companies________ restructured their businesses.",successive ,successful,successively,successfully , D 
Anyone________ experiences complications with the new software is encouraged to bring this matter to Mr. Gruber’s attention in room 210.,who   ,which   ,whom   ,whose,who   
"But ""turbulent markets have________ impacted performance across all asset classes, industry-wide"", the group said in a statement.",fortunately ,affirmatively,adversely ,favorably,adversely 
"As the recession hits tax revenues, May saw the biggest________ in monthly public sector borrowing since records began.",value  ,asset,profit,surge ,surge 
Groundwork's environmental business services teams also________ formal training to help companies achieve accredited qualifications and increase profitability.,recruit ,purchase,produce,offer ,offer 
Renovations this summer will increase Larchmere Concert Hall’s seating________ by 80 seats.,intensity              ,capacity ,preparation           ,aptitude,capacity 
Attendance is mandatory for the staff meeting________________ for next Tuesday in the council hall.,has been scheduled         ,schedule,will schedule                ,scheduled ,scheduled 
Several staff heads________ a better understanding of the importance of motivation and teamwork from the last workshop.,gaining            ,to gain  ,gained            ,were gained,gained            
"The acquisition, purchase, possession, manufacture, sale and transfer of electric shock weapons was already________ by the Firearms Act of 1968.",referred ,relegated,registered,regulated ,regulated 
New department heads must attend meetings____________   in order to be exposed to new ideas from other team members.,frequent               ,frequenting,frequently              ,frequency,frequently              
The________ on foreign developments in the fashion industry will include refreshments and a 45-minute question period afterwards.,increase            ,referral,development       ,presentation ,presentation 
Please mark the appropriate box to indicate if the person named above________ any of the certificates listed below.,holding   ,held   ,holds   ,hold,holds   
"According to many, both the ups and the downs are________ his domineering personality and top-down management style. ",instead of ,in addition to,despite,due to ,due to 
"Maurice Robertson,________ an executive at a small company, became the CEO of Bradshaw Industries four months ago.",once   ,often   ,soon   ,now,once   
"While we still take telephone calls, other________ of correspondence are encouraged to avoid tying up telephone lines unnecessarily.",profiles  ,views  ,outlines  ,forms ,forms 
"If you wish to make the trip to Auckland____________________the other department heads, please let Ms. Berlin know immediately.",where  ,both  ,with   ,but,with   
Our firm has received________ from numerous clients for our excellent work over the past twenty years.,compliment         ,complimented,compliments        ,complimentary,compliments        
________  the companies that can grow old as gracefully as their work forces is one challenge for investors.,Spot ,Spots,Spotting,Spotted,Spotting
"He coined the phrase, “think globally, act locally,” popularised by management________ Theodore Levitt and Kenichi Ohmae.",shrinks ,nerds,gurus ,hermits,gurus 
They should look to purchase more land________ to the current cemetery or open new cemeteries in the area.,adjective ,adherent,adhesive,adjacent ,adjacent 
Finding qualified students for this job may be________ difficult. ,extreme             ,extremes   ,extremely           ,extremity,extremely           
We will have the mechanic____________  your car in a couple of hours. ,to repair,repair,repaired,repairman, B 
Companies House has always been mindful to operate within its________ framework when co-operating with law enforcement agencies. ,stationery  ,stationary,statutory ,stately,statutory 
"More than 5 million tons of cargo passes____________________between Liverpool and Ireland, as well as an increasing number of passengers.",annul  ,annual,annually ,annuity,annually 
"Sysco is the global________ in selling, marketing and distributing food products to restaurants, healthcare and educational facilities. ",lead ,leader ,leadership ,leading,leader 
Alvinson Clothiers’ branch in Milan has been open since last August________ is quickly becoming our busiest location.,and   ,also  ,than  ,or,and   
There will be a panel________ of pharmaceutical company spokes people and consumer advocates to debate current health concerns. ,consist             ,consisting ,will consist         ,to be consisted,consisting 
"The project team consisted of four members, all of____________  were presented with an award for their outstanding contributions to science.  ",whom,whose,who,whoever,whom
"________________  conducting aggressive marketing on the streets, the employees also received a lot of positive feedback on their new product.",However,While,If,Because,While
"________________ how to use the new file-sharing software, Mr. Hume consulted the electronic user manual.",Not to know,Not knowing,Didn't know,Don’t knowing,Not knowing
The client____________  you prepared the income tax returns is scheduled to arrive at 4:30 PM.,whose,which,for whom ,who,for whom 
The performance____________  not have been so splendid without the continual guidance and motivation given to us by our director. ,can,would,must,Need,would
"Do you have an outgoing personality, an entrepreneurial spirit, and a________ to succeed rapidly in a performance based culture? ",thrive ,throb,drive ,crave,drive 
"Tetrosyl Ltd. is____________  manufacturer of car accessories in Europe, and aims to capitalize on its success by expanding into Canada. ",a larger,the largest,larger,a largest,the largest
"The software design manager, Julien Temple, was delighted to hear his name____________  at the annual awards ceremony.",calling,called,calls,to call,called
The scientist works long hours in her lab. Sometimes____________spends the whole day there.,he,she,it,they,she
Other former employees of the food company told how blood would________ through packaging and contaminate other meat before delivery. ,seep  ,sip,sweep,sob,seep  
All of the conferees were concerned____________  a new trade embargo.  ,to,for,too,about  ,about  
Laboratory researchers at the Crop Research Institute must take care of plant samples that need________________  at regular intervals.,to water,be watered,to be watered,to watering,to be watered
"There are two choices facing us. Either we can continue without your suitcase,____________we can wait until it comes in on tomorrow's flight.",but,while,although,or,or
"________   of other electronic equipment also went missing, including 30 mobile phones and 35 Blackberry-type hand-held personal organizers.",Score ,Scores,A score,The score,Scores
"At various times different airports held the lead as the world's largest, busiest, most efficient or____________________advanced. ",technology ,technocrat,technological,technologically,technologically
